,Nom d'utilisateur,Following,Followers,Nombre total de tweet,Nombre de retweet,Contenu brut,Contenu tokenisé,Hashtags,Date
633,chivot_pierre,24,99,36819,298,"L’Espagne, en s’extirpant du carcan  européen dans le secteur, fait passer la TVA sur l'électricité de 21% à 5%, mesure financée par une taxe sur les bénéfices des grandes entreprises énergétiques. Précisément ce que nous défendons depuis des mois ! Qu’attend le gouvernement ? https://t.co/onQm60yHBo","['espagne', 'extirper', 'carcan', 'europeen', 'secteur', 'passer', 'tva', 'electricite', '21', 'mesure', 'financer', 'taxe', 'benefice', 'grand', 'entreprise', 'energetique', 'precisement', 'defendre', 'mois', 'attendre', 'gouvernement']",[],2022-06-23
634,DelamarreClair1,1056,91,4841,393,"Cela fait 15 ans que les présidents 🇫🇷 la promettent, @EmmanuelMacron est celui qui l’a faite passer ! 

➡️Enfin, la taxe carbone aux frontières de l’🇪🇺 va être mise en place. 

Une mesure de protection fondamentale contre le dumping environnemental des entreprises hors-UE. https://t.co/248iMZfyhS","['15', 'an', 'president', 'promettre', 'faire', 'passer', 'enfin', 'taxe', 'carbone', 'frontiere', 'mettre', 'place', 'mesure', 'protection', 'fondamental', 'contre', 'dumping', 'environnemental', 'entreprise', 'hors-ue']",[],2022-06-23
635,ccl4c,871,186,5652,0,"@Phineas_Barnum @PopeGregoireX Avantage de Toute Nature. Montant fictif ajouté au brut de l'employé et donc taxé à lPP pour compenser un avantage  (voiture, téléphone, ordinateur,....) + ajouté aux recette de l'entreprise et taxé à l'Isoc.","['avantage', 'nature', 'montant', 'fictif', 'ajouter', 'brut', 'employe', 'taxer', 'lpp', 'compenser', 'avantage', 'voiture', 'telephone', 'ordinateur', 'ajoute', 'recette', 'entreprise', 'taxer', 'isoc']",[],2022-06-23
636,ChristineMeill3,1937,1372,172966,393,"Cela fait 15 ans que les présidents 🇫🇷 la promettent, @EmmanuelMacron est celui qui l’a faite passer ! 

➡️Enfin, la taxe carbone aux frontières de l’🇪🇺 va être mise en place. 

Une mesure de protection fondamentale contre le dumping environnemental des entreprises hors-UE. https://t.co/248iMZfyhS","['15', 'an', 'president', 'promettre', 'faire', 'passer', 'enfin', 'taxe', 'carbone', 'frontiere', 'mettre', 'place', 'mesure', 'protection', 'fondamental', 'contre', 'dumping', 'environnemental', 'entreprise', 'hors-ue']",[],2022-06-23
637,123_INFO_FR,52,944,117632,0,"📈 Taxe carbone: les entreprises vont devoir participer à l'effort de guerre?
Source : BFM Business #123INFO #Bourse
https://t.co/cae492wSXo","['taxe', 'carbone', 'entreprise', 'devoir', 'participer', 'effort', 'guerre', 'source', 'bfm', 'business', '123info', 'bourse']","['123INFO', 'Bourse']",2022-06-23
638,OlivierLarivir1,613,92,3800,5,"Finalement, la taxe carbone aux frontières a été votée au Parlement européen : un compromis a été trouvé après que chaque parti ait accepté de faire des concessions. Comme quoi c'est possible... 
https://t.co/Y6kuxqd2lI https://t.co/wYL7DVHGv0 https://t.co/VE1uKOcKPi","['finalement', 'taxe', 'carbone', 'frontiere', 'etre', 'voter', 'parlement', 'europeen', 'compromis', 'etre', 'trouver', 'parti', 'accepter', 'faire', 'concession']",[],2022-06-23
639,CoachDeVente,163,3675,113540,0,Taxe carbone: les entreprises vont devoir participer à l'effort de guerre? https://t.co/k3afQkPpuf https://t.co/R2VvguSYCV,"['taxe', 'carbone', 'entreprise', 'devoir', 'participer', 'effort', 'guerre']",[],2022-06-23
640,lainbec30,4024,11581,51480,393,"Cela fait 15 ans que les présidents 🇫🇷 la promettent, @EmmanuelMacron est celui qui l’a faite passer ! 

➡️Enfin, la taxe carbone aux frontières de l’🇪🇺 va être mise en place. 

Une mesure de protection fondamentale contre le dumping environnemental des entreprises hors-UE. https://t.co/248iMZfyhS","['15', 'an', 'president', 'promettre', 'faire', 'passer', 'enfin', 'taxe', 'carbone', 'frontiere', 'mettre', 'place', 'mesure', 'protection', 'fondamental', 'contre', 'dumping', 'environnemental', 'entreprise', 'hors-ue']",[],2022-06-23
641,NathalieLoiseau,696,59463,14877,393,"Cela fait 15 ans que les présidents 🇫🇷 la promettent, @EmmanuelMacron est celui qui l’a faite passer ! 

➡️Enfin, la taxe carbone aux frontières de l’🇪🇺 va être mise en place. 

Une mesure de protection fondamentale contre le dumping environnemental des entreprises hors-UE. https://t.co/248iMZfyhS","['15', 'an', 'president', 'promettre', 'faire', 'passer', 'enfin', 'taxe', 'carbone', 'frontiere', 'mettre', 'place', 'mesure', 'protection', 'fondamental', 'contre', 'dumping', 'environnemental', 'entreprise', 'hors-ue']",[],2022-06-23
642,IdezAurelien,1602,189,12497,174,"Ça y est! 🌱

Le Parlement 🇪🇺 adopte en plénière 3 textes majeurs pour l’action climatique:

- La réforme du marché carbone.
- Le fonds social pour le climat. 
- La taxe carbone aux frontières.

Trois pas de géant pour une action européenne + ambitieuse pour le climat!
#FitFor55 https://t.co/vVI9P1v9WR","['parlement', 'adopte', 'pleniere', 'texte', 'majeur', 'action', 'climatique', 'reforme', 'marche', 'carbone', 'fonds', 'social', 'climat', 'taxe', 'carbone', 'frontiere', 'geant', 'action', 'europeen', 'ambitieux', 'climat', 'fitfor55']",[],2022-06-23
